rater_id,story_id,config,seed,structure,temperature,dimension,score,rank,favorite,most_creative,most_engaging,most_coherent,is_baseline
P001,baseline,baseline,,,,Coherence,3.0,4,0,0,0,0,True
P001,baseline,baseline,,,,Emotional Development,3.0,4,0,0,0,0,True
P001,baseline,baseline,,,,Character Consistency,3.0,4,0,0,0,0,True
P001,baseline,baseline,,,,Creativity_Originality,3.0,4,0,0,0,0,True
P001,baseline,baseline,,,,Language Fluency,3.0,4,0,0,0,0,True
P001,baseline,baseline,,,,Structural Completeness,3.0,4,0,0,0,0,True
P001,baseline,baseline,,,,Overall Quality,3.0,4,0,0,0,0,True
P001,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Coherence,4.0,3,0,0,0,0,False
P001,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Emotional Development,4.0,3,0,0,0,0,False
P001,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Character Consistency,3.0,3,0,0,0,0,False
P001,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Creativity_Originality,3.0,3,0,0,0,0,False
P001,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Language Fluency,3.0,3,0,0,0,0,False
P001,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Structural Completeness,4.0,3,0,0,0,0,False
P001,linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Overall Quality,4.0,3,0,0,0,0,False
P001,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Coherence,4.0,2,1,1,1,0,False
P001,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Emotional Development,3.0,2,1,1,1,0,False
P001,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Character Consistency,4.0,2,1,1,1,0,False
P001,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Creativity_Originality,3.0,2,1,1,1,0,False
P001,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Language Fluency,4.0,2,1,1,1,0,False
P001,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Structural Completeness,4.0,2,1,1,1,0,False
P001,linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Overall Quality,4.0,2,1,1,1,0,False
P001,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Coherence,4.0,1,0,0,0,1,False
P001,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Emotional Development,4.0,1,0,0,0,1,False
P001,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Character Consistency,3.0,1,0,0,0,1,False
P001,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Creativity_Originality,4.0,1,0,0,0,1,False
P001,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Language Fluency,4.0,1,0,0,0,1,False
P001,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Structural Completeness,4.0,1,0,0,0,1,False
P001,linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Overall Quality,4.0,1,0,0,0,1,False
P002,baseline,baseline,,,,Coherence,2.0,3,0,0,0,0,True
P002,baseline,baseline,,,,Emotional Development,3.0,3,0,0,0,0,True
